sighted,reported,city,state,duration
19950226,19950227,"Tallassee","TN",
19950720,19950720,"Vista","CA",5 min.
19950802,19950802,"Lynnwood","WA",3 sec.
19950216,19950217,"Kalamazoo","MI",5 min.
19950202,19950219,"Eastport","MI",
19950821,19950820,"La Crosse","WI",2 min.
19950806,19950806,"Bakersfield","CA",5 sec.
19950813,19950815,"Redmond","WA",1 min.
19950222,19950222,"Woodinville","WA",15 min.(?)
19950825,19950825,"Monticello","NY",6 sec.
19950118,19950118,"Grangeville","ID",
19950419,19950419,"Clovis","CA",90 sec.
19950628,19950712,"New Providence","NJ",1-2 min.
19951002,19951002,"Farmington","MN",5 sec.
19950716,19950716,"Macon","GA",1 min.
19950728,19950728,"Bakersfield","CA",20 min.
19950216,19950216,"Johnson City","TN",
19950810,19950814,"Oakland","CA",
19950119,19950120,"Richland","WA",1 min.
19950830,19950831,"Travis AFB","CA",3 min.
19950624,19950626,"Farmingdale","NY",10 min.
19951013,19951019,"Crescent City","CA",10 min.
19950325,19950325,"Auburn","WA",1 sec.
19950908,19950908,"Portland","OR",
19951001,19951001,"Lake Oswego","OR",90 sec.
19950711,19950807,"Fircrest","WA",20 sec.
19950421,19950421,"Hansville","WA",
19950628,19950711,"Tacoma","WA",30 sec.
19950114,19950114,"Beaverton","OR",
19950306,19950307,"Mountain City","TN",1 min.
19950103,19950103,"Seattle","WA",0.5 sec.
19950511,19950511,"Palm Desert","CA",45 min.
19950518,19950519,"Las Vegas","NV",1 hr.
19951117,19951117,"Sector 18","NY",5 sec.
19950202,19950212,"Seatac","WA",
19950811,19950811,"Beaverton","OR",15 sec.
19950314,19950314,"Seattle","WA",2 sec.
19950204,19950204,"Port Hadlock","WA",
19950422,19950421,"Louisville","KY",
19950619,19950620,"Adair County","IA",5 hrs.
19950219,19950219,"Phoenix","AZ",
19950315,19950315,"Fairmont","WV",1 sec.t
19950106,19950107,"Warm Beach","WA",10 sec.
19950205,19950205,"Atlanta","GA",
19950513,19950514,"Framingham","MA",10 min.
19950215,19950215,"Santa Rosa","CA",5 sec
19950912,19950912,"Orangeburg","NY",15 min.
19950223,19950225,"El Centro","CA",
19950815,19950817,"Tacoma","WA",5 sec.
19950804,19950804,"Santa Rosa","CA",
19951014,19951016,"Sandpoint","ID",20 sec.
19950515,19950515,"N. Seattle","WA",30 sec.
19950925,19950926,"Flushing","MI",
19900101,19950210,"Minneapolis","MN",
19950425,19950425,"Grape Creek","IL",3 sec.
19950830,19950830,"Fresno","CA",
19950402,19950402,"Knoxville","TN",
19951103,19951103,"Maryland Hts.","MO",3 min.
19950322,19950322,"Bedford","VA",1 hr.
19950115,19950116,"Poulsbo","WA",2 min.
19950327,19950404,"San Francisco","CA",
19950317,19950318,"Flint","MI",15 min.
19950616,19951007,"Freeport","FL",
19950922,19950922,"Virginia Beach","VA",
19950815,19950815,"Vashon Island","WA",2 sec.
19950930,19950930,"Troy","ME",
19951001,19951002,"Iowa City","IA",20 sec.
19950329,19950329,"Mt. Ranch","CA",
19950823,19950823,"Louisville","KY",10 min.
19950402,19950402,"Smith River","CA",20 min.
19950202,19950203,"Traverse City","MI",2 min (?)
19950308,19950309,"Byron Center","MI",
19950325,19950326,"Monterey","CA",
19950529,19950529,"Fairfield","CA",20 sec.
19950523,19950524,"Brawley","CA",6 sec.
19950111,19950129,"Seatac","WA",
19950521,19950521,"Fox Chapel","PA",20 min.
19950115,19950124,"Gorham","ME",2 weeks
19950514,19950513,"Dayton","OR",
19951001,19951001,"Vacaville","CA",
19950105,19950105,"Shelby","MT",2 min.
19950609,19950609,"Fontana","CA",15 min.
19950910,19950910,"Auburn","WA",25 min.
19950222,19950226,"Kent","WA",
19950727,19950728,"Riverside","CA",20 min.
19950314,19950316,"Seattle","WA",
19950528,19950528,"Eagle Creek","OR",45 sec.
19950203,19950208,"Romulus","MI",
19951007,19951007,"West Valley City","UT",
19941230,19950103,"Roy","WA",3 min
19950822,19950822,"Tempe","AZ",15 sec.
19950512,19950512,"Edwards AFB","CA",
19950725,19950727,"Ocate","NM",2 min
19950222,19950302,"Mill Creek","WA",3 min.
19930114,19950609,"So. Cal.","CA",5 min.
19950829,19950831,"La Habra","CA",
19950528,19950529,"St. Louis","MO",
19950224,19950225,"Cam Highway (?)","HI",
19950311,19950312,"Fort Wayne","IN",20 min.
19950622,19950628,"Raton","NM",5 min.
